DateTime,stationId,temp_value,humidity_value,rainfall_value
2025-02-21T23:59:59,S107,27.1,84.1,0
2025-02-21T22:59:59,S107,27.3,82.5,0
2025-02-21T21:59:59,S107,27.4,81.2,0
2025-02-21T20:59:59,S107,27.5,81.9,0
2025-02-21T19:59:59,S107,27.7,78,0
2025-02-21T18:59:59,S107,28.3,74.4,0
2025-02-21T17:59:59,S107,29,70.5,0
2025-02-21T16:59:59,S107,29.4,68.6,0
2025-02-21T15:59:59,S107,29.7,64.8,0
2025-02-21T14:59:59,S107,29.8,66.9,0
2025-02-21T13:59:59,S107,30.2,64.3,0
2025-02-21T12:59:59,S107,30.1,64.4,0
2025-02-21T11:59:59,S107,30,67.3,0
2025-02-21T10:59:59,S107,29.1,72,0
2025-02-21T09:59:59,S107,27.9,76.8,0
2025-02-21T08:59:59,S107,27.1,81.9,0
2025-02-21T07:59:59,S107,26.6,84.2,0
2025-02-21T06:59:59,S107,26.2,86.5,0
2025-02-21T05:59:59,S107,26.1,86.5,0
2025-02-21T04:59:59,S107,26,87.7,0
2025-02-21T03:59:59,S107,26.1,86.7,0
2025-02-21T02:59:59,S107,26.3,85.9,0
2025-02-21T01:59:59,S107,26.6,85.4,0
2025-02-21T00:59:59,S107,26.8,84.5,0
2025-02-20T23:59:59,S107,27,82.8,0
2025-02-20T22:59:59,S107,27.1,83,0
2025-02-20T21:59:59,S107,27.2,82.1,0
2025-02-20T20:59:59,S107,27.5,80.3,0
2025-02-20T19:59:59,S107,27.7,75.8,0
2025-02-20T18:59:59,S107,28.6,70,0
2025-02-20T17:59:59,S107,29.3,65.8,0
2025-02-20T16:59:59,S107,29.9,65.2,0
2025-02-20T15:59:59,S107,30.1,59.7,0
2025-02-20T14:59:59,S107,30.1,64.3,0
2025-02-20T13:59:59,S107,30,64.8,0
2025-02-20T12:59:59,S107,30,65.6,0
2025-02-20T11:59:59,S107,29.7,67.7,0
2025-02-20T10:59:59,S107,28.5,73.8,0
2025-02-20T09:59:59,S107,28,77.5,0
2025-02-20T08:59:59,S107,27,84.6,0
2025-02-20T07:59:59,S107,26.6,86,0
2025-02-20T06:59:59,S107,26.7,85.4,0
2025-02-20T05:59:59,S107,26.4,88.1,0
2025-02-20T04:59:59,S107,26.4,87.4,0
2025-02-20T03:59:59,S107,26.5,87,0
2025-02-20T02:59:59,S107,26.5,87.2,0
